COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Albania,ALB,EURO,REPORTING,14-05-2023,3080679,1348396,107,47.234,1277987,44.768,13-01-2021,6,399190,13.984
Chile,CHL,AMRO,REPORTING,02-06-2023,66273384,18106832,346.687,94.72,17716364,92.677,21-12-2020,5,15766986,82.48
Congo,COG,AFRO,REPORTING,31-07-2022,833210,695760,15.1,12.609,654119,11.854,23-03-2021,4,,
Côte d’Ivoire,CIV,AFRO,REPORTING,19-02-2023,25263932,13568372,95.776,51.438,12164304,46.115,01-03-2021,5,3138712,11.899
Denmark,DNK,EURO,REPORTING,11-06-2023,14986863,4767119,257.4,81.164,4731911,80.565,16-12-2020,5,3634971,61.888
Greenland,GRL,EURO,OWID,14-03-2022,79738,41227,140.453,72.619,38511,67.834,,1,,
Guernsey,GGY,EURO,OWID,19-12-2022,178525,54223,276.92,84.108,52710,81.761,,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,02-04-2023,10645240,7679918,81.058,58.479,4725982,35.986,05-03-2021,6,302545,2.304
Guinea-Bissau,GNB,AFRO,REPORTING,04-06-2023,825234,733271,41.933,37.26,533741,27.121,02-04-2021,2,48801,2.48
Guyana,GUY,AMRO,REPORTING,02-06-2023,960133,495285,122.069,62.969,381984,48.564,11-02-2021,7,77874,9.901
Hungary,HUN,EURO,REPORTING,11-06-2023,16570212,6358579,169.6,65.627,6151942,63.494,23-12-2020,8,3868612,39.928
Japan,JPN,WPRO,REPORTING,06-08-2023,406215583,104731631,321.179,82.807,103411804,81.764,17-02-2021,4,86577817,68.454
Kyrgyzstan,KGZ,EURO,REPORTING,14-05-2023,3132083,1516221,48,23.227,1332740,20.417,31-03-2021,6,283122,4.337
Mauritius,MUS,AFRO,REPORTING,28-05-2023,2615287,1123773,205.642,88.363,1088142,85.561,26-01-2021,3,640419,50.357
Mongolia,MNG,WPRO,REPORTING,17-03-2023,5668144,2284018,172.899,69.671,2185282,66.659,23-02-2021,6,1058839,32.299
North Macedonia,MKD,EURO,REPORTING,07-05-2023,1862987,854570,89.4,40.629,838181,39.85,17-02-2021,7,161633,7.685
Seychelles,SYC,AFRO,REPORTING,09-04-2023,224558,88520,228.332,90.008,83565,84.97,10-01-2021,4,44936,45.691
Trinidad and Tobago,TTO,AMRO,REPORTING,02-06-2023,1589640,754399,113.587,53.905,718969,51.374,17-02-2021,5,174836,12.493
Turkmenistan,TKM,EURO,REPORTING,05-02-2023,13040514,3359468,216.2,52.973,3358426,52.957,24-02-2021,7,3171535,50.01
